MovieCode,Period,Crores,actor,STATUS
BDCQ.SEA1AA,2011.06,80078,,R
BDCQ.SEA1AA,2011.09,78324,,R
BDCQ.SEA1AA,2011.12,85850,,R
BDCQ.SEA1AA,2012.03,90743,,R
BDCQ.SEA1AA,2012.06,81780,,R
BDCQ.SEA1AA,2012.09,79261,,R
BDCQ.SEA1AA,2012.12,87793,,R
BDCQ.SEA1AA,2013.03,91571,,R
BDCQ.SEA1AA,2013.06,81687,,R
BDCQ.SEA1AA,2013.09,81471,,R
BDCQ.SEA1AA,2013.12,93950,,R
BDCQ.SEA1AA,2014.03,97208,,R
BDCQ.SEA1AA,2014.06,85879,,R
BDCQ.SEA1AA,2014.09,84447,,R
BDCQ.SEA1AA,2014.12,95075,,R
BDCQ.SEA1AA,2015.03,98202,,R
BDCQ.SEA1AA,2015.06,87987,,R
BDCQ.SEA1AA,2015.09,84529,,R
BDCQ.SEA1AA,2015.12,96848,,R
BDCQ.SEA1AA,2016.03,99291,,R
BDCQ.SEA1AA,2016.06,88716,,R
BDCQ.SEA1AA,2016.09,85933,,R
BDCQ.SEA1AA,2016.12,96540,,R
BDCQ.SEA1AA,2017.03,98994,,R
BDCQ.SEA1AA,2017.06,90510,,R
BDCQ.SEA1AA,2017.09,87089,,R
BDCQ.SEA1AA,2017.12,98933,,R
BDCQ.SEA1AA,2018.03,101168,,R
BDCQ.SEA1AA,2018.06,90766,,R
BDCQ.SEA1AA,2018.09,86929,,R
BDCQ.SEA1AA,2018.12,100290,,R
BDCQ.SEA1AA,2019.03,102031,,R
BDCQ.SEA1AA,2019.06,90836,,R
BDCQ.SEA1AA,2019.09,88032,,R
BDCQ.SEA1AA,2019.12,100531,,R
BDCQ.SEA1AA,2020.03,100947,,R
BDCQ.SEA1AA,2020.06,93239,,R
BDCQ.SEA1AA,2020.09,93195,,R
BDCQ.SEA1AA,2020.12,102683,,R
BDCQ.SEA1AA,2021.03,101342,,R
BDCQ.SEA1AA,2021.06,92962,,R
BDCQ.SEA1AA,2021.09,91635,,R
BDCQ.SEA1AA,2021.12,102423,,R
BDCQ.SEA1AA,2022.03,100285,,F
BDCQ.SEA1AS,2011.06,83975,,R
